Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"ТН Березенцева, ЕЕ Иванова","Контрольная работа",,"","","","",11,"2021-05-12 14:16:17","CITATION","","","",,,,,0,0.00,0,2,,""
2,"ВК Батоврин, ЮВ Гуляев, ЮЛ Ижванов…","Применение технологии открытых систем для построения и использования инфраструктуры высокопроизводительных ресурсов для науки и …",,"","","","https://scholar.google.com/scholar?cites=10238197260651749321&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-05-12 14:16:17","CITATION","","","",,,,,2,0.00,1,4,,""
0,"АЯ Олейников, ЕЕ Журавлев","Проектирование профиля информационных, вычислительных и телекоммуникационных ресурсов отрасли",,"","","","",13,"2021-05-12 14:16:17","CITATION","","","",,,,,0,0.00,0,2,,""
0,"ГК Афанасьев","АРХИТЕКТУРА КОМПЬЮТЕРОВ",,"kutubxona.adu.uz","","http://kutubxona.adu.uz/kutubxona/afanasyevgsarxitekturakompyuterovpdf.pdf","",14,"2021-05-12 14:16:17","PDF","","","",,,,,0,0.00,0,1,,"… не нужно, но полезно при выборе, сборке и модернизации компьютера для … Период универсальных машин (мейнфреймов) пакетной обработки продлился с 60 х до 80 х годов … на мейнфреймах и мини—ЭВМ установилось два вида компьютинга: централизованная …"
0,"ЕМ Ульяницкий, АВ Чернов, ОС Хошафян","О свойствах архитектуры распределенных вычислительных систем на железнодорожном транспорте",2000,"Вестник Ростовского …","elibrary.ru","https://elibrary.ru/item.asp?id=11693647","",15,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,3,21,"… анализ их свойств применительно к конкретной системе, подлежащей модернизации … Мейнфреймы обладают симметричной многопроцессорной архитектурой с общей памятью SMP … строились на базе нескольких однопроцессорных мэйнфрейм зв (например …"
0,"ЗА Воитлева, ГФ Нурыева","Возможности использования информационных технологий в управлении предприятием",2017,"Academy","cyberleninka.ru","https://cyberleninka.ru/article/n/17900747","",16,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,2,4,"… выполняющей организацию автоматизированного банка данных, может быть UNIX- сервер, мэйнфрейм или суперкомпьютер … ОСОБЕННОСТИ РАЗРАБОТКИ ПРОГРАММЫ ПО МОДЕРНИЗАЦИИ СЕТИ ПОЧТОВОЙ СВЯЗИ РЕСПУБЛИКИ УЗБЕКИСТАН Жураев Л.Н …"
0,"ИВ Жиленков","Программная система моделирования автоматизированных процессов на примере управления космическими средствами с использованием муравьиного …",2019,"… исследования, открытия и развитие технологий в …","elibrary.ru","https://elibrary.ru/item.asp?id=40550484","",17,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,1,2,"… В.1 - передача информации из облачных сервисов в центр обработки данных, мейнфрейм; В.2 … В результате чего удалось модернизировать уже существующий муравьиный алгоритм. Суть модернизации заключается в том, что после того, как по графу проходит …"
3,"КА Белокрылов","Перспективы цифровизации воспроизводства в государственном секторе",2018,"Россия: тенденции и перспективы развития","cyberleninka.ru","https://cyberleninka.ru/article/n/18021917","https://scholar.google.com/scholar?cites=7182683251021057111&as_sdt=2005&sciodt=0,5&hl=en",18,"2021-05-12 14:16:17","HTML","","","",,,,,3,1.00,3,1,3,"… начало цифровой революции датируется с 1960-х годов, когда стали разрабатываться мейнфреймы (большие ЭВМ … Следовательно, в то время как модернизация производственных технологий существенно преобразует промышленность, наибольшие …"
3,"ВВ Иконников, АА Лебедев","Разработка системы автоматизации регрессионного тестирования",2011,"Объектные системы","cyberleninka.ru","https://cyberleninka.ru/article/n/15988736","https://scholar.google.com/scholar?cites=3216619793011592870&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-05-12 14:16:17","","","","",,,,,3,0.30,2,2,10,"… Промышленные предприятия России вступают в процесс активной модернизации … Для подсветки логов, получаемых c мейнфреймов, а также синтаксиса языка управления … интерфейс, предоставляющий доступ к подсистеме ввода заданий на мейнфрейм JES2 …"
13,"ОС Белокрылова","Смена технологических укладов или 4-я промышленная революция?: институционализация 4. 0 индустрии на Юге России",2017,"Вестник экспертного совета","cyberleninka.ru","https://cyberleninka.ru/article/n/17633519","https://scholar.google.com/scholar?cites=7931396166869868449&as_sdt=2005&sciodt=0,5&hl=en",20,"2021-05-12 14:16:17","HTML","","","",,,,,13,3.25,13,1,4,"… революции в России, выступает институциональная модернизация, предполагающая, с … создания стоимости со временем привело к модернизации промышленности и … Конечно, можно модернизировать парадигму технологических укладов, пролонгировав число …"
1,"ЮА ПИМЕНОВА","Блокчейн: пятая революционная парадигма вычислений",2017,"МОЛОДЕЖЬ И СИСТЕМНАЯ МОДЕРНИЗАЦИЯ …","elibrary.ru","https://elibrary.ru/item.asp?id=29428629&pf=1","https://scholar.google.com/scholar?cites=12752370766868780690&as_sdt=2005&sciodt=0,5&hl=en",21,"2021-05-12 14:16:17","","","","",,,,,1,0.25,1,1,4,"… КОНФЕРЕНЦИЯ: МОЛОДЕЖЬ И СИСТЕМНАЯ МОДЕРНИЗАЦИЯ СТРАНЫ Курск, 25–26 мая 2017 года … Первоначально появились мейнфреймы, следом персональные компьютеры, а затем нашу жизнь изменил интернет …"
0,"ЮН Мороков","М 801 Мороков ЮН, Климова ЕГ основы информатики и вычислительной техники. Практикум на ЭВМ (для студентов нематематических …",,"","","","",22,"2021-05-12 14:16:17","CITATION","","","",,,,,0,0.00,0,1,,""
0,"ЕВ Перевалова","Разработка стратегии использования ИТ для предприятий производственной сферы (на примере ООО"" Биг Группа"")",2016,"","elib.sfu-kras.ru","http://elib.sfu-kras.ru/bitstream/handle/2311/28239/vkr_perevalova_pe12-08.pdf?sequence","",23,"2021-05-12 14:16:17","PDF","","","",,,,,0,0.00,0,1,5,"… настройке и сопровождении, так и в постоянном управлении, модернизации и … 1) первый этап – появление мэйнфреймов; 2) второй этап – появление клиент-серверной архитектуры; … Мэйнфреймы Клиент-серверная архитектура Интернет- компьютинг …"
0,"ВЛ Почекин","Трансформация Интернета во всемирную грид-сеть",2009,"","Витебский государственный …","","",24,"2021-05-12 14:16:17","CITATION","","","",,,,,0,0.00,0,1,12,""
15,"ОЕ Антипов, МА Белов…","Архитектура виртуальной компьютерной лаборатории для подготовки специалистов в области информационных технологий",2011,"Компьютерные …","cyberleninka.ru","https://cyberleninka.ru/article/n/17206043","https://scholar.google.com/scholar?cites=9949302123991350466&as_sdt=2005&sciodt=0,5&hl=en",25,"2021-05-12 14:16:17","HTML","","","",,,,,15,1.50,5,3,10,"… существенно снизить издержки на приобретение необходимого оборудования или его модернизацию … ния мэйнфреймов или кластерных решений и их дальнейшего обслуживания … Остановка мейнфрейма или кластера коренным образом скажется на спецкурсах …"
0,"ТВ Полякова, ДЗ Хуснутдинов","ДИСТАНЦИОННОЕ УПРАВЛЕНИЕ ДВУХЗВЕННЫМ ГУСЕНИЧНЫМ ТРАНСПОРТЕРОМ «ВИТЯЗЬ»",2020,"Станкостроение и инновационное …","elibrary.ru","https://elibrary.ru/item.asp?id=43804176","",26,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,2,1,"… Повышение путевой устойчивости и управляемости вездеходов является одной из главных задач модернизации ДГТ … программно-аппаратных средств, включающий в себя, прежде всего, центральный вычислительный блок (мейнфрейм), обрабатывающий все …"
2,"ВВ Андреев","Рейтинговая подсистема учета успеваемости студентов",2010,"Программные продукты и системы","cyberleninka.ru","https://cyberleninka.ru/article/n/15550733","https://scholar.google.com/scholar?cites=8096126761404547819&as_sdt=2005&sciodt=0,5&hl=en",27,"2021-05-12 14:16:17","HTML","","","",,,,,2,0.18,2,1,11,"… следствие, развитие информационного общества обусловили необходимость модернизации учебного процесса … развивалась с многопользовательских систем на мейнфреймах, большое внимание в … программном уровне (система IBM i; мейнфреймы IBM System z …"
0,"АА Паршин, АВ Дагаев","ВИРТУАЛЬНЫЕ МАШИНЫ В АВТОМОБИЛЕСТРОЕННИИ",2015,"… науки, образования и модернизации …","elibrary.ru","https://elibrary.ru/item.asp?id=24877655","",28,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,2,6,"… АСПЕКТЫ РАЗВИТИЯ НАУКИ, ОБРАЗОВАНИЯ И МОДЕРНИЗАЦИИ ПРОМЫШЛЕННОСТИ Таганрог, 21 мая 2015 г … в исследования производительности ПО или новой компьютерной архитектуры;для оптимизации использования ресурсов мейнфреймов и прочих …"
0,"СН Ковач","Системное администрирование",,"docs.pfdo.ru","","https://docs.pfdo.ru/uploads/programs/i70SIE7mriSK.pdf","",29,"2021-05-12 14:16:17","PDF","","","",,,,,0,0.00,0,1,,"… веб- мастер, администратор голосовой почты, администратор баз данных (DBA), администратор почтовых систем, системный программист мэйнфреймов, администратор домашних … Модернизация и ремонт персональных компьютеров; АСТ - М., 2009. - 140 c …"
1,"ОП Култыгин","Интегрированная обработка маршрутов машиниста",2014,"Прикладная информатика","cyberleninka.ru","https://cyberleninka.ru/article/n/17214598","https://scholar.google.com/scholar?cites=9753928511930023016&as_sdt=2005&sciodt=0,5&hl=en",30,"2021-05-12 14:16:17","HTML","","","",,,,,1,0.14,1,1,7,"… Подобные системы ИОММ на базе вычислительной техники класса мэйнфрейм разрабатывались и для других дорог … на ИВЦ Московской железной дороги, что позволяет централизовать сопровождение и модернизацию распределенной информационной …"
0,"КС Орлик","Архитектура сетевой инфраструктуры современных центров обработки данных",2018,"… тенденции развития науки и образования: Теория и …","elibrary.ru","https://elibrary.ru/item.asp?id=36712558","",31,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,1,3,"… уделяется масштабированию и потенциальной возможности модернизации сетевой инфраструктуры … Задачи уровня доступа - поддержание работы мейнфреймов - то есть … Мейнфреймы представляют собой специализированные сервера для решения строго …"
0,"СВ Востокин","ББК 32.973. 26-018.2 я7 В 780",2018,"","repo.ssau.ru","http://repo.ssau.ru/bitstream/Uchebnye-posobiya/Operacionnye-sistemy-69775/1/%D0%92%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%B8%D0%BD%20%D0%A1.%D0%92..%20%D0%9E%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B.pdf","",32,"2021-05-12 14:16:17","PDF","","","",,,,,0,0.00,0,1,3,"… Цена одного из известных мейнфреймов IBM 7090/94 (рис … Мейнфрейм, вход- ная, системная, вы- ходная ленты … Особен- ностью этого семейства являлась низкая цена ($120,000, что состав- ляло 5% цены мейнфрейма IBM) и сопоставимая с мейнфреймами …"
0,"АВ Кныш","Интеллектуальные системы обеспечения промышленной и пожарной безопасности на базе систем SCADA",2010,"Современные технологии обеспечения гражданской …","cyberleninka.ru","https://cyberleninka.ru/article/n/16882756","",33,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,1,11,"… химической промышленности и производства, сопровождающиеся вредными выбросами) требуют внедрения и модернизации систем промышленной и … устройствами подключения к каналам связи до больших вычислительных систем (мэйнфреймов) и/или …"
4,"ЕЗ Макеева, ВВ Махарадзе","Нормативно-справочная информационная система-инструмент управления экономической эффективностью организации",2014,"Транспортное дело России","cyberleninka.ru","https://cyberleninka.ru/article/n/15957192","https://scholar.google.com/scholar?cites=17472336528706389018&as_sdt=2005&sciodt=0,5&hl=en",34,"2021-05-12 14:16:17","HTML","","","",,,,,4,0.57,2,2,7,"… эксплуатации от двух до пяти лет после проведённой модернизации … изотермический подвижной состав, рефрижераторный вагон, продление срока службы, модернизация … компании проводят на вагоноремонтных предприятиях модернизацию вагонов, которая …"
15,"АА Шеметев","Международные стандарты инновационного менеджмента: Учебное пособие для студентов вузов и авангардных преподавателей",2014,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Ho_bAgAAQBAJ&oi=fnd&pg=PP1&dq=%D0%BC%D0%BE%D0%B4%D0%B5%D1%80%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%D0%BC%D0%B5%D0%B9%D0%BD%D1%84%D1%80%D0%B5%D0%B9%D0%BC%D0%BE%D0%B2&ots=uyc7GpYH4m&sig=jAehF86TCbaKeX0vb5uWRpG-gZM","https://scholar.google.com/scholar?cites=635717684486805630&as_sdt=2005&sciodt=0,5&hl=en",35,"2021-05-12 14:16:17","BOOK","","","",,,,,15,2.14,15,1,7,"… сферах деятельности. Инновация: 1. Нововведение, новшество. 2. Комплекс мероприятий, направленных на внедрение в экономику новой техники, технологий, изобретений и т.п.; модернизация. Инновация - это …"
0,"СВ Запечников","Учебно-методическое обеспечение дисциплины «Открытые информационные системы»",2014,"Безопасность информационных технологий","bit.mephi.ru","https://bit.mephi.ru/index.php/bit/article/view/138","",36,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,1,7,"… Обзор различных классов компьютерных систем: суперкомпьютеры, мейнфреймы, центры обработки данных … и раздельными очередями к каждому из серверов (после модернизации ЦОД … очередью; 2) определить, приведет ли предлагаемая модернизация ЦОД к …"
1,"АМ Михайлова","Технология распределенных реестров в банковском секторе: анализ ценности информационных технологий в снижении финансовых потерь …",2017,"Вестник университета","cyberleninka.ru","https://cyberleninka.ru/article/n/17496946","https://scholar.google.com/scholar?cites=2228914491032210161&as_sdt=2005&sciodt=0,5&hl=en",37,"2021-05-12 14:16:17","HTML","","","",,,,,1,0.25,1,1,4,"… Хоум Кредит» сделал свой выбор в пользу мейнфреймов благодаря наличию в … При помощи вычислительных ресурсов Мейнфрейм 1 IBM Z Systems и Мей … статей Международной научно-практической конференции «Актуальные вопросы модернизации науки» 22 …"
56,"АВ Батаев","Перспективы внедрения облачных технологий в банковском секторе России",2014,"Научно-технические ведомости Санкт …","cyberleninka.ru","https://cyberleninka.ru/article/n/16828776","https://scholar.google.com/scholar?cites=3435776046367706658&as_sdt=2005&sciodt=0,5&hl=en",38,"2021-05-12 14:16:17","HTML","","","",,,,,56,8.00,56,1,7,"… Развитие персональных компьютеров привело к отходу от дорогих мейнфреймов в сторону недорогих серверов, поэтому … облачные технологии позволяют обеспечить экономию средств на приобретении, поддержке, модернизации программно-аппаратных …"
23,"ОВ Майданович, МЮ Охтилев…","Междисциплинарный подход к оцениванию и анализу эффективности информационных технологий и систем",2010,"Известия высших …","cyberleninka.ru","https://cyberleninka.ru/article/n/16470479","https://scholar.google.com/scholar?cites=788608489946137892&as_sdt=2005&sciodt=0,5&hl=en",39,"2021-05-12 14:16:17","HTML","","","",,,,,23,2.09,8,3,11,"… Мэйнфреймы … обеспечить создание новых поколений КС (модернизировать существующие КС … Как показали исследования, в условиях модернизации системы государственного управления и одновременного усиления влияния мирового экономического кризиса …"
18,"БВ Соколов, ЕГ Цивирко, РМ Юсупов","Анализ влияния информатики и информационных технологий на развитие теории и систем управления сложными объектами",2009,"Труды СПИИРАН","mathnet.ru","http://www.mathnet.ru/rus/trspy45","https://scholar.google.com/scholar?cites=16926130852361617534&as_sdt=2005&sciodt=0,5&hl=en",40,"2021-05-12 14:16:17","","","","",,,,,18,1.50,6,3,12,"… На данном этапе на основе широкого внедрения ПЭВМ и модернизации исполь- зуемых до этого ЭВМ среднего и большого класса (мэйнфреймов) происходят эволюционное комплексирование и интеграция информа- ционных ресурсов и технологий …"
33,"ИН Курносов","Реализация концепции электронного правительства: новый этап",2004,"Информационное общество","emag.iis.ru","http://emag.iis.ru/arc/infosoc/emag.nsf/0/890b2440d66b70fcc32571780046f577?OpenDocument","https://scholar.google.com/scholar?cites=5410094137791052354&as_sdt=2005&sciodt=0,5&hl=en",41,"2021-05-12 14:16:17","HTML","","","",,,,,33,1.94,33,1,17,"… Модернизация государственного управления неразрывно связана с использованием новых … приоритетных задач социально-экономического развития, модернизации системы государственного … управления в целом и модернизацию управления проектами …"
1,"ЕГ Хакимова","Информационно-консультационные услуги в области информационных технологий",2013,"Вестник Казанского технологического …","cyberleninka.ru","https://cyberleninka.ru/article/n/14766112","https://scholar.google.com/scholar?cites=14007714842488032069&as_sdt=2005&sciodt=0,5&hl=en",42,"2021-05-12 14:16:17","","","","",,,,,1,0.13,1,1,8,"… аутсорсинга наиболее часто передаются следующие функции: администрирование мэйнфреймов, поддержка персональных … университете для обеспечения соответствия образовательных технологий задачам модернизации образовательного процесса страны …"
0,"ИИ Фефелов","ЭВОЛЮЦИЯ ПРИНЦИПОВ КОМПЬЮТЕРИЗАЦИИ РАБОЧИХ МЕСТ В ОРГАНИЗАЦИЯХ",2020,"… ПРОБЛЕМЫ СОВРЕМЕННОЙ НАУКИ","elibrary.ru","https://elibrary.ru/item.asp?id=44231958","",43,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,1,1,"… полноценный опыт взаимодействия и наиболее востребованные функциональные возможности мейнфреймов, чем способствовали … Возможности модернизации ЭВМ нового поколения определялись целыми семействами поддерживаемых стандартных …"
0,"НА Митрофанова, ЕА Безгласная","Неэкономические факторы производства в условиях модернизации экономики Non-economic factors of production in terms of modernization",,"econf.rae.ru","","http://econf.rae.ru/pdf/2011/12/859.pdf","",44,"2021-05-12 14:16:17","PDF","","","",,,,,0,0.00,0,2,,"… экономик стран. Не существует единого мнения об определении модернизации. Словари … модернизация». Но обновления в экономике могут носить и такой смысл, как … капитала. Этот процесс вряд ли можно принять за модернизацию …"
0,"МА Мирошниченко, АВ Трипутень","ВОЗМОЖНОСТИ И ПРИНЦИПЫ РЕАЛИЗАЦИИ КОНЦЕПЦИИ ЦИФРОВОГО ОБЩЕСТВА В РОССИИ",2020,"Проблемы общества и экономики …","elibrary.ru","https://elibrary.ru/item.asp?id=42944412","",45,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,2,1,"… Таблица 1 - Тренд развитие цифровой революции Период Характеристика Описание 1960-е Мейнфреймы и базы дан … кон-курентоспособности экономики и в стимулировании экономического роста, потому что они запускают модернизацию традиционных отрас …"
0,"МА Качанов","Формирование электронной среды учреждения высшего профессионального образования как фактор, облегчающий процесс передачи знаний и повышения …",2010,"… кадрового обеспечения сферы культуры и искусства …","elibrary.ru","https://elibrary.ru/item.asp?id=24875976","",46,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,1,11,"… Им пришлось адаптироваться к новым организационно-экономическим условиям, модернизировать методы работы … В сентябре 2005 года произошла модернизации системы доступа к информации в … NT 4.0 TSE и многих других платформ, включая мейнфреймы …"
3,"ВВ Табаков","«Облачные» вычисления (Cloud Computing)-новая область информационных услуг",2010,"Креативная экономика","cyberleninka.ru","https://cyberleninka.ru/article/n/16636324","https://scholar.google.com/scholar?cites=3138572501758223879&as_sdt=2005&sciodt=0,5&hl=en",47,"2021-05-12 14:16:17","HTML","","","",,,,,3,0.27,3,1,11,"… Кроме того, итеративный процесс модернизации платформы в Cloud Computing проходит … продвигает свои услуги, тратя миллионы долларов на модернизацию инфраструктуры, специалистов и … подобной той, какой во времена развития мейнфреймов стала IBM …"
0,"ОЕ Антипов, МА Белов, НА Токарева","ВИРТУАЛЬНОЙ КОМПЬЮТЕРНОЙ ЛАБОРАТОРИЯ ДЛЯ ПОДГОТОВКИ СПЕЦИАЛИСТОВ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙЙ",,"nnov.hse.ru","","https://nnov.hse.ru/data/2012/01/24/1264569658/%D0%A2%D0%B5%D0%BA%D1%81%D1%82%20%D1%81%D1%82%D0%B0%D1%82%D1%8C%D0%B8.pdf","",48,"2021-05-12 14:16:17","PDF","","","",,,,,0,0.00,0,3,,"… существенно снизить издержки на приобретение необходимого оборудования или его модернизацию … ния мэйнфреймов или кластерных решений и их дальнейшего обслуживания. Останов- ка мейнфрейма или кластера коренным об- разом скажется на …"
2,"Л Черняк","Высокопроизводительные встроенные компьютеры",2006,"«Открытые системы»","informat444.narod.ru","http://informat444.narod.ru/museum/pres/pdf/cw-07-2006.pdf","https://scholar.google.com/scholar?cites=2841130236189684117&as_sdt=2005&sciodt=0,5&hl=en",49,"2021-05-12 14:16:17","PDF","","","",,,,,2,0.13,2,1,15,"… На пару лет от BINAC отстал первый коммерческий компьютер, знаменитый UNIVAC I, прародитель мэйнфреймов … Под руководством Долкарта была разработана УВМ ВНИИЭМ-3 и ее модернизация УВМ «В-3М», успешно использовавшиеся для управления …"
1,"ВВ Табаков","За облаками вычислений."" Облачные"" вычисления (cloud computing)-новая область информационных услуг",2010,"Креативная экономика","elibrary.ru","https://elibrary.ru/item.asp?id=13920592","https://scholar.google.com/scholar?cites=14846573434766760324&as_sdt=2005&sciodt=0,5&hl=en",50,"2021-05-12 14:16:17","","","","",,,,,1,0.09,1,1,11,"… Кроме того, итеративный процесс модернизации платформы в Cloud Computing проходит … продвигает свои услуги, тратя миллионы долларов на модернизацию инфраструктуры, специалистов и … подобной той, какой во времена развития мейнфреймов стала IBM …"
